abv,ibu,beer_id,beer_name,style,style_group,ounces,brewery_id
0.061,60.0,1979,Bitter Bitch,American Pale Ale (APA),American Pale Ale (APA),12.0,177
0.099,92.0,1036,Lower De Boom,American Barleywine,other,8.4,368
0.079,45.0,1024,Fireside Chat,Winter Warmer,other,12.0,368
0.044,42.0,876,Bitter American,American Pale Ale (APA),American Pale Ale (APA),12.0,368
0.049,17.0,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,Fruit / Vegetable Beer,12.0,368
0.049,17.0,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,Fruit / Vegetable Beer,12.0,368
0.07,70.0,799,21st Amendment IPA (2006),American IPA,American IPA,12.0,368
0.07,70.0,797,Brew Free! or Die IPA (2008),American IPA,American IPA,12.0,368
0.07,70.0,796,Brew Free! or Die IPA (2009),American IPA,American IPA,12.0,368
0.085,52.0,531,Special Edition: Allies Win The War!,English Strong Ale,other,12.0,368
0.0969999999999999,94.0,432,Hop Crisis,American Double / Imperial IPA,American Double / Imperial IPA,12.0,368
0.044,42.0,353,Bitter American (2011),American Pale Ale (APA),American Pale Ale (APA),12.0,368
0.079,45.0,321,Fireside Chat (2010),Winter Warmer,other,12.0,368
0.068,65.0,173,Back in Black,American Black Ale,other,12.0,368
0.083,35.0,11,Monk's Blood,Belgian Dark Ale,other,12.0,368
0.07,65.0,10,Brew Free! or Die IPA,American IPA,American IPA,12.0,368
0.049,17.0,9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,Fruit / Vegetable Beer,12.0,368
0.07,82.0,2519,Bimini Twist,American IPA,American IPA,12.0,67
0.035,11.0,2545,Passion Fruit Prussia,Berliner Weissbier,other,12.0,60
0.045,18.0,2544,Send Help,American Blonde Ale,American Blonde Ale,12.0,60
0.05,28.0,1870,Contact High,American Pale Wheat Ale,American Pale Wheat Ale,12.0,60
0.05,45.0,2602,Citrafest,American IPA,American IPA,16.0,27
0.069,65.0,2219,Scarecrow,American IPA,American IPA,16.0,27
0.09,50.0,2218,Ironman,English Strong Ale,other,16.0,27
0.046,15.0,2217,Honey Kolsch,Kölsch,Kölsch,16.0,27
0.052,18.0,2216,Copperhead Amber,Belgian Dark Ale,other,16.0,27
0.059,75.0,972,Rude Parrot IPA,American IPA,American IPA,16.0,481
0.054,30.0,866,British Pale Ale (2010),English Pale Ale,other,16.0,481
0.054,30.0,48,British Pale Ale,English Pale Ale,other,16.0,481
0.084,82.0,47,Ballz Deep Double IPA,American Double / Imperial IPA,American Double / Imperial IPA,16.0,481
0.055,26.0,1165,Colorado Native,American Amber / Red Lager,other,12.0,462
0.055,26.0,431,Colorado Native (2011),American Amber / Red Lager,other,12.0,462
0.065,52.0,516,Jockamo IPA,American IPA,American IPA,12.0,533
0.042,13.0,515,Purple Haze,Fruit / Vegetable Beer,Fruit / Vegetable Beer,12.0,533
0.045,17.0,514,Abita Amber,American Amber / Red Lager,other,12.0,533
0.0819999999999999,68.0,2540,Citra Ass Down,American IPA,American IPA,16.0,62
0.05,20.0,2539,The Brown Note,American Brown Ale,American Brown Ale,16.0,62
0.125,80.0,2685,London Balling,English Barleywine,other,16.0,1
0.077,25.0,2684,35 K,Milk / Sweet Stout,other,16.0,1
0.042,42.0,2683,A Beer,American Pale Ale (APA),American Pale Ale (APA),16.0,1
0.05,25.0,2682,Rules are Rules,German Pilsener,other,16.0,1
0.066,21.0,2681,Flesh Gourd'n,Pumpkin Ale,other,16.0,1
0.04,13.0,2680,Sho'nuff,Belgian Pale Ale,other,16.0,1
0.055,17.0,2679,Bloody Show,American Pilsner,other,16.0,1
0.076,68.0,2678,Rico Sauvin,American Double / Imperial IPA,American Double / Imperial IPA,16.0,1
0.051,38.0,2677,Coq de la Marche,Saison / Farmhouse Ale,other,16.0,1
0.06,65.0,2675,Pile of Face,American IPA,American IPA,16.0,1
0.053,35.0,1594,Maylani's Coconut Stout,American Stout,other,16.0,367
