,key_0,abv,ibu,beer_id,beer_name,style,style_group,ounces,brewery_id_x,brewery_id_y,brewery_name,city,state
0,177,0.061,60.0,1979,Bitter Bitch,American Pale Ale (APA),American Pale Ale (APA),12.0,177,177,18th Street Brewery,Gary, IN
1,368,0.099,92.0,1036,Lower De Boom,American Barleywine,other,8.4,368,368,21st Amendment Brewery,San Francisco, CA
2,368,0.079,45.0,1024,Fireside Chat,Winter Warmer,other,12.0,368,368,21st Amendment Brewery,San Francisco, CA
3,368,0.044000000000000004,42.0,876,Bitter American,American Pale Ale (APA),American Pale Ale (APA),12.0,368,368,21st Amendment Brewery,San Francisco, CA
4,368,0.049,17.0,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,Fruit / Vegetable Beer,12.0,368,368,21st Amendment Brewery,San Francisco, CA
5,368,0.049,17.0,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,Fruit / Vegetable Beer,12.0,368,368,21st Amendment Brewery,San Francisco, CA
6,368,0.07,70.0,799,21st Amendment IPA (2006),American IPA,American IPA,12.0,368,368,21st Amendment Brewery,San Francisco, CA
7,368,0.07,70.0,797,Brew Free! or Die IPA (2008),American IPA,American IPA,12.0,368,368,21st Amendment Brewery,San Francisco, CA
8,368,0.07,70.0,796,Brew Free! or Die IPA (2009),American IPA,American IPA,12.0,368,368,21st Amendment Brewery,San Francisco, CA
9,368,0.085,52.0,531,Special Edition: Allies Win The War!,English Strong Ale,other,12.0,368,368,21st Amendment Brewery,San Francisco, CA
10,368,0.0969999999999999,94.0,432,Hop Crisis,American Double / Imperial IPA,American Double / Imperial IPA,12.0,368,368,21st Amendment Brewery,San Francisco, CA
11,368,0.044000000000000004,42.0,353,Bitter American (2011),American Pale Ale (APA),American Pale Ale (APA),12.0,368,368,21st Amendment Brewery,San Francisco, CA
12,368,0.079,45.0,321,Fireside Chat (2010),Winter Warmer,other,12.0,368,368,21st Amendment Brewery,San Francisco, CA
13,368,0.068,65.0,173,Back in Black,American Black Ale,other,12.0,368,368,21st Amendment Brewery,San Francisco, CA
14,368,0.083,35.0,11,Monk's Blood,Belgian Dark Ale,other,12.0,368,368,21st Amendment Brewery,San Francisco, CA
15,368,0.07,65.0,10,Brew Free! or Die IPA,American IPA,American IPA,12.0,368,368,21st Amendment Brewery,San Francisco, CA
16,368,0.049,17.0,9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,Fruit / Vegetable Beer,12.0,368,368,21st Amendment Brewery,San Francisco, CA
17,67,0.07,82.0,2519,Bimini Twist,American IPA,American IPA,12.0,67,67,3 Daughters Brewing,St Petersburg, FL
18,60,0.035,11.0,2545,Passion Fruit Prussia,Berliner Weissbier,other,12.0,60,60,4 Hands Brewing Company,Saint Louis, MO
19,60,0.045,18.0,2544,Send Help,American Blonde Ale,American Blonde Ale,12.0,60,60,4 Hands Brewing Company,Saint Louis, MO
20,60,0.05,28.0,1870,Contact High,American Pale Wheat Ale,American Pale Wheat Ale,12.0,60,60,4 Hands Brewing Company,Saint Louis, MO
21,27,0.05,45.0,2602,Citrafest,American IPA,American IPA,16.0,27,27,450 North Brewing Company,Columbus, IN
22,27,0.069,65.0,2219,Scarecrow,American IPA,American IPA,16.0,27,27,450 North Brewing Company,Columbus, IN
